"AlarmName","ErrorCode","SrNo","Device","AlarmDescription","Message","Severity","AckRequired","PlcTag","Shortcut","PlcReference","TriggerTag","MappingStatus"
"ALM_E001","E001","1","AENTR IO 01","Communication  Faulted","E001 AENTR IO 01 Communication  Faulted","500","true","","","","","Unmapped"
"ALM_E002","E002","2","AENTR IO 02","Communication  Faulted","E002 AENTR IO 02 Communication  Faulted","500","true","","","","","Unmapped"
"ALM_E003","E003","3","Remote IO 01","Communication  Faulted","E003 Remote IO 01 Communication  Faulted","500","true","","","","","Unmapped"
"ALM_E004","E004","4","Remote IO 02","Communication  Faulted","E004 Remote IO 02 Communication  Faulted","500","true","","","","","Unmapped"
"ALM_E005","E005","5","Tray Pusher Servo 01","Drive Communication  Faulted","E005 Tray Pusher Servo 01 Drive Communication  Faulted","500","true","FB_Servo01","Offline","[Offline]FB_Servo01","FB_Servo01.Alarm.E005","Mapped"
"ALM_E006","E006","6","Plate Pusher Servo 01","Drive Communication  Faulted","E006 Plate Pusher Servo 01 Drive Communication  Faulted","500","true","FB_Servo02","Offline","[Offline]FB_Servo02","FB_Servo02.Alarm.E006","Mapped"
"ALM_E007","E007","7","Plate Guide Servo 01","Drive Communication  Faulted","E007 Plate Guide Servo 01 Drive Communication  Faulted","500","true","FB_Servo03","Offline","[Offline]FB_Servo03","FB_Servo03.Alarm.E007","Mapped"
"ALM_E008","E008","8","Tray Pusher Servo 02","Drive Communication  Faulted","E008 Tray Pusher Servo 02 Drive Communication  Faulted","500","true","FB_Servo04","Offline","[Offline]FB_Servo04","FB_Servo04.Alarm.E008","Mapped"
"ALM_E009","E009","9","Plate Pusher Servo 02","Drive Communication  Faulted","E009 Plate Pusher Servo 02 Drive Communication  Faulted","500","true","FB_Servo05","Offline","[Offline]FB_Servo05","FB_Servo05.Alarm.E009","Mapped"
"ALM_E010","E010","10","Plate Guide Servo 02","Drive Communication  Faulted","E010 Plate Guide Servo 02 Drive Communication  Faulted","500","true","FB_Servo06","Offline","[Offline]FB_Servo06","FB_Servo06.Alarm.E010","Mapped"
"ALM_E011","E011","11","Printer Assembly Servo Slide","Drive Communication  Faulted","E011 Printer Assembly Servo Slide Drive Communication  Faulted","500","true","FB_Servo07","Offline","[Offline]FB_Servo07","FB_Servo07.Alarm.E011","Mapped"
"ALM_E012","E012","12","Tray Insertion Servo Slide","Drive Communication  Faulted","E012 Tray Insertion Servo Slide Drive Communication  Faulted","500","true","FB_Servo08","Offline","[Offline]FB_Servo08","FB_Servo08.Alarm.E012","Mapped"
"ALM_E013","E013","13","Tray Stacker Servo 01","Drive Communication  Faulted","E013 Tray Stacker Servo 01 Drive Communication  Faulted","500","true","FB_Servo09","Offline","[Offline]FB_Servo09","FB_Servo09.Alarm.E013","Mapped"
"ALM_E014","E014","14","Tray Stacker Servo 02","Drive Communication  Faulted","E014 Tray Stacker Servo 02 Drive Communication  Faulted","500","true","FB_Servo10","Offline","[Offline]FB_Servo10","FB_Servo10.Alarm.E014","Mapped"
"ALM_E015","E015","15","Plate Feeding Conveyor","Drive Communication  Faulted","E015 Plate Feeding Conveyor Drive Communication  Faulted","500","true","FB_Drive01","Offline","[Offline]FB_Drive01","FB_Drive01.Alarm.E015","Mapped"
"ALM_E016","E016","16","Tray Feeding Conveyor","Drive Communication  Faulted","E016 Tray Feeding Conveyor Drive Communication  Faulted","500","true","FB_Drive02","Offline","[Offline]FB_Drive02","FB_Drive02.Alarm.E016","Mapped"
"ALM_E017","E017","17","Sealing Conveyor","Drive Communication  Faulted","E017 Sealing Conveyor Drive Communication  Faulted","500","true","FB_Drive03","Offline","[Offline]FB_Drive03","FB_Drive03.Alarm.E017","Mapped"
"ALM_E018","E018","18","Plate Handling ROBOT-01","Communication  Faulted","E018 Plate Handling ROBOT-01 Communication  Faulted","500","true","FB_ROB01","Offline","[Offline]FB_ROB01","FB_ROB01.Alarm.E018","Mapped"
"ALM_E019","E019","19","Plate Handling ROBOT-02","Communication  Faulted","E019 Plate Handling ROBOT-02 Communication  Faulted","500","true","FB_ROB02","Offline","[Offline]FB_ROB02","FB_ROB02.Alarm.E019","Mapped"
"ALM_E020","E020","20","Tray Transfer Robot 01","Communication  Faulted","E020 Tray Transfer Robot 01 Communication  Faulted","500","true","","","","","Unmapped"
"ALM_E021","E021","21","Bag Transfer Robot 01","Communication  Faulted","E021 Bag Transfer Robot 01 Communication  Faulted","500","true","","","","","Unmapped"
"ALM_E022","E022","22","Valve Bank","Communication  Faulted","E022 Valve Bank Communication  Faulted","500","true","","","","","Unmapped"
"ALM_E023","E023","23","Spare","","E023 Spare","500","true","","","","","Unmapped"
"ALM_E024","E024","24","Spare","","E024 Spare","500","true","","","","","Unmapped"
"ALM_E025","E025","25","","","E025","500","true","","","","","Unmapped"
"ALM_E026","E026","26","","","E026","500","true","","","","","Unmapped"
"ALM_E027","E027","27","","","E027","500","true","","","","","Unmapped"
"ALM_E028","E028","28","","","E028","500","true","","","","","Unmapped"
"ALM_E029","E029","29","","","E029","500","true","","","","","Unmapped"
"ALM_E030","E030","30","","","E030","500","true","","","","","Unmapped"
"ALM_E031","E031","31","","","E031","500","true","","","","","Unmapped"
"ALM_E032","E032","32","","","E032","500","true","","","","","Unmapped"
"ALM_E101","E101","33","Air Pressure","Low","E101 Air Pressure Low","500","true","","","","","Unmapped"
"ALM_E102","E102","34","E-Stop At HMI","Pressed","E102 E-Stop At HMI Pressed","500","true","","","","","Unmapped"
"ALM_E103","E103","35","E-Stop At Fame 02","Pressed","E103 E-Stop At Fame 02 Pressed","500","true","","","","","Unmapped"
"ALM_E104","E104","36","Frame 01 Door 01","Open","E104 Frame 01 Door 01 Open","500","true","","","","","Unmapped"
"ALM_E105","E105","37","Frame 01 Door 02","Open","E105 Frame 01 Door 02 Open","500","true","","","","","Unmapped"
"ALM_E106","E106","38","Frame 01 Door 03","Open","E106 Frame 01 Door 03 Open","500","true","","","","","Unmapped"
"ALM_E107","E107","39","Frame 01 Tray 01 Door 04","Open","E107 Frame 01 Tray 01 Door 04 Open","500","true","","","","","Unmapped"
"ALM_E108","E108","40","Frame 01 Tray 02 Door 05","Open","E108 Frame 01 Tray 02 Door 05 Open","500","true","","","","","Unmapped"
"ALM_E109","E109","41","Frame 02 Door 01","Open","E109 Frame 02 Door 01 Open","500","true","","","","","Unmapped"
"ALM_E110","E110","42","Frame 02 Door 02","Open","E110 Frame 02 Door 02 Open","500","true","","","","","Unmapped"
"ALM_E111","E111","43","Frame 02 Door 03","Open","E111 Frame 02 Door 03 Open","500","true","","","","","Unmapped"
"ALM_E112","E112","44","Frame 02 Door 04","Open","E112 Frame 02 Door 04 Open","500","true","","","","","Unmapped"
"ALM_E113","E113","45","Frame 02 Door 05","Open","E113 Frame 02 Door 05 Open","500","true","","","","","Unmapped"
"ALM_E114","E114","46","Frame 02 Door 06","Open","E114 Frame 02 Door 06 Open","500","true","","","","","Unmapped"
"ALM_E115","E115","47","Frame 02 Bag Bin 01 Door 07","Open","E115 Frame 02 Bag Bin 01 Door 07 Open","500","true","","","","","Unmapped"
"ALM_E116","E116","48","Frame 02 Bag Bin 02 Door 08","Open","E116 Frame 02 Bag Bin 02 Door 08 Open","500","true","","","","","Unmapped"
"ALM_E117","E117","49","Tray Stacker Safety Cover","","E117 Tray Stacker Safety Cover","500","true","","","","","Unmapped"
"ALM_E118","E118","50","Bag Bin Safety Cover","","E118 Bag Bin Safety Cover","500","true","","","","","Unmapped"
"ALM_E119","E119","51","","","E119","500","true","","","","","Unmapped"
"ALM_E120","E120","52","","","E120","500","true","","","","","Unmapped"
"ALM_E201","E201","54","Tray Pusher Servo 01","MPCB Tripped","E201 Tray Pusher Servo 01 MPCB Tripped","500","true","FB_Servo01","Offline","[Offline]FB_Servo01","FB_Servo01.Alarm.E201","Mapped"
