"RowNo","EquipmentName","EquipmentCode","DeviceType","PlcTag","Shortcut","PlcReference","PlcTagStatus"
"2","PLC","PLC01","","","Offline","","MissingPlcTag"
"3","AENTR IO 01","RIO01","","","Offline","","MissingPlcTag"
"4","AENTR IO 02","RIO02","","","Offline","","MissingPlcTag"
"5","Remote Module 01","RM01","","","Offline","","MissingPlcTag"
"6","Remote Module 02","RM02","","","Offline","","MissingPlcTag"
"7","Scada","SCADA01","","","Offline","","MissingPlcTag"
"8","Tray Pusher Servo 01","TPS01","C3-SERVO","FB_Servo01","Offline","[Offline]FB_Servo01","Ready"
"9","Plate Pusher Servo 01","PPS01","C3-SERVO","FB_Servo02","Offline","[Offline]FB_Servo02","Ready"
"10","Plate Guide Servo 01","PGS01","C3-SERVO","FB_Servo03","Offline","[Offline]FB_Servo03","Ready"
"11","Tray Pusher Servo 02","TPS02","C3-SERVO","FB_Servo04","Offline","[Offline]FB_Servo04","Ready"
"12","Plate Pusher Servo 02","PPS02","C3-SERVO","FB_Servo05","Offline","[Offline]FB_Servo05","Ready"
"13","Plate Guide Servo 02","PGS02","C3-SERVO","FB_Servo06","Offline","[Offline]FB_Servo06","Ready"
"14","Printer Assembly Servo Slide","PASS01","C5-SERVO","FB_Servo07","Offline","[Offline]FB_Servo07","Ready"
"15","Tray Insertion Servo Slide","TIS01","C3-SERVO","FB_Servo08","Offline","[Offline]FB_Servo08","Ready"
"16","Tray Stacker Servo 01","TST01","CMMT-ST","FB_Servo09","Offline","[Offline]FB_Servo09","Ready"
"17","Tray Stacker Servo 02","TST02","CMMT-ST","FB_Servo10","Offline","[Offline]FB_Servo10","Ready"
"18","Plate Feeding Conveyor","PFC01","PF525","FB_Drive01","Offline","[Offline]FB_Drive01","Ready"
"19","Tray Feeding Conveyor","TFC01","PF525","FB_Drive02","Offline","[Offline]FB_Drive02","Ready"
"20","Sealing Conveyor","SLC01","PF525","FB_Drive03","Offline","[Offline]FB_Drive03","Ready"
"21","Bowl Feeder Motor 01","BFM01","DOL","FB_DOL01","Offline","[Offline]FB_DOL01","Ready"
"22","Bowl Feeder Motor 02","BFM02","DOL","FB_DOL02","Offline","[Offline]FB_DOL02","Ready"
"23","Vacuum Pump","VPM01","DOL","FB_DOL03","Offline","[Offline]FB_DOL03","Ready"
"24","Bag Sealer Vacuum Pump","BSVPM01","DOL","FB_DOL04","Offline","[Offline]FB_DOL04","Ready"
"25","Plate Handling ROBOT-1","Robot 01","ABB","FB_ROB01","Offline","[Offline]FB_ROB01","Ready"
"26","Plate Handling ROBOT-2","Robot 02","ABB","FB_ROB02","Offline","[Offline]FB_ROB02","Ready"
"27","Tray Transfer ROBOT","Robot 03","ABB","FB_ROB03","Offline","[Offline]FB_ROB03","Ready"
"28","Bag Transfer Robot","Robot 04","ABB","FB_ROB04","Offline","[Offline]FB_ROB04","Ready"
"33","Description","Cyl Qty","","PLC Tag /FB No","Offline","[Offline]PLC Tag /FB No","Ready"
"34","Plate Infeed Conveyor Diverter","1","","FB_PV01","Offline","[Offline]FB_PV01","Ready"
"35","Linear Feeder 01 Exit Stopper","1","","FB_PV02","Offline","[Offline]FB_PV02","Ready"
"36","Linear Feeder 02 Exit Stopper","1","","FB_PV03","Offline","[Offline]FB_PV03","Ready"
"37","Plate Handling ROBOT 01 Gripper","1","","FB_PV04","Offline","[Offline]FB_PV04","Ready"
"38","Tray 01 Side Guide","1","","FB_PV05","Offline","[Offline]FB_PV05","Ready"
"39","Tray 01 Front Guide","1","","FB_PV06","Offline","[Offline]FB_PV06","Ready"
"40","Tray 01 Stopper 01/02","2","","FB_PV07","Offline","[Offline]FB_PV07","Ready"
"41","Tray 01 Pusher UP FB","1","","FB_PV08","Offline","[Offline]FB_PV08","Ready"
"42","Plate Handling ROBOT 02 Gripper","1","","FB_PV09","Offline","[Offline]FB_PV09","Ready"
"43","Tray 02 Side Guide","1","","FB_PV10","Offline","[Offline]FB_PV10","Ready"
"44","Tray 02 Front Guide","1","","FB_PV11","Offline","[Offline]FB_PV11","Ready"
"45","Tray 02 Stopper 01/02","2","","FB_PV12","Offline","[Offline]FB_PV12","Ready"
"46","Tray 02 Pusher UP FB","1","","FB_PV13","Offline","[Offline]FB_PV13","Ready"
"47","Tray Insertion Servo Slide Pusher","1","","FB_PV14","Offline","[Offline]FB_PV14","Ready"
"48","Tray Insertion Servo Tray Stopper","1","","FB_PV15","Offline","[Offline]FB_PV15","Ready"
"49","Bag Opening Swing Arm1/2","2","","FB_PV16","Offline","[Offline]FB_PV16","Ready"
"50","Bag Opening Swing Arm Stretch","1","","FB_PV17","Offline","[Offline]FB_PV17","Ready"
"51","Bag Opening Vacuum Cup Lifter","1","","FB_PV18","Offline","[Offline]FB_PV18","Ready"
"52","Tray Stacker Safety Cover Slide","1","","FB_PV19","Offline","[Offline]FB_PV19","Ready"
"53","Tray Stacker 01 Tray Centering","1","","FB_PV20","Offline","[Offline]FB_PV20","Ready"
"54","Tray Stacker 01 Tray Referencing","1","","FB_PV21","Offline","[Offline]FB_PV21","Ready"
"55","Tray Stacker 02 Tray Centering","1","","FB_PV22","Offline","[Offline]FB_PV22","Ready"
"56","Tray Stacker 02 Tray Referencing","1","","FB_PV23","Offline","[Offline]FB_PV23","Ready"
"57","Tray Transfer ROBOT Tray Lifter","1","","FB_PV24","Offline","[Offline]FB_PV24","Ready"
"58","Tray Transfer ROBOT Tray Vacuum Cup","1","","FB_PV25","Offline","[Offline]FB_PV25","Ready"
"59","Bag Transfer Robot Vacuum Cup","1","","FB_PV26","Offline","[Offline]FB_PV26","Ready"
"60","Sealing Unit Heating Jaw","1","","FB_PV27","Offline","[Offline]FB_PV27","Ready"
"61","Sealing Unit Vacuum Jaw","2","","FB_PV28","Offline","[Offline]FB_PV28","Ready"
"62","Sealing Unit Bag Opening Cylinder","1","","FB_PV29","Offline","[Offline]FB_PV29","Ready"
"63","Tray Feeding Conveyor Buffer Stopper","1","","FB_PV30","Offline","[Offline]FB_PV30","Ready"
"64","Bag Opening Bottom Vacuum Cup","1","","FB_PV31","Offline","[Offline]FB_PV31","Ready"
"65","","1","","FB_PV32","Offline","[Offline]FB_PV32","Ready"
"66","","1","","FB_PV33","Offline","[Offline]FB_PV33","Ready"
"67","","FB_PV34","","FB_PV34","Offline","[Offline]FB_PV34","Ready"
