"ScreenName","GlobalObjectName","Param_Equipment","Param_PlcTag","Param_Description"
"EQP_PLC01","Motor","PLC01","","PLC"
"EQP_RIO01","Motor","RIO01","","AENTR IO 01"
"EQP_RIO02","Motor","RIO02","","AENTR IO 02"
"EQP_RM01","Motor","RM01","","Remote Module 01"
"EQP_RM02","Motor","RM02","","Remote Module 02"
"EQP_SCADA01","Motor","SCADA01","","Scada"
"EQP_TPS01","Motor","TPS01","FB_Servo01","Tray Pusher Servo 01"
"EQP_PPS01","Motor","PPS01","FB_Servo02","Plate Pusher Servo 01"
"EQP_PGS01","Motor","PGS01","FB_Servo03","Plate Guide Servo 01"
"EQP_TPS02","Motor","TPS02","FB_Servo04","Tray Pusher Servo 02"
"EQP_PPS02","Motor","PPS02","FB_Servo05","Plate Pusher Servo 02"
"EQP_PGS02","Motor","PGS02","FB_Servo06","Plate Guide Servo 02"
"EQP_PASS01","Motor","PASS01","FB_Servo07","Printer Assembly Servo Slide"
"EQP_TIS01","Motor","TIS01","FB_Servo08","Tray Insertion Servo Slide"
"EQP_TST01","Motor","TST01","FB_Servo09","Tray Stacker Servo 01"
"EQP_TST02","Motor","TST02","FB_Servo10","Tray Stacker Servo 02"
"EQP_PFC01","Motor","PFC01","FB_Drive01","Plate Feeding Conveyor"
"EQP_TFC01","Motor","TFC01","FB_Drive02","Tray Feeding Conveyor"
"EQP_SLC01","Motor","SLC01","FB_Drive03","Sealing Conveyor"
"EQP_BFM01","Motor","BFM01","FB_DOL01","Bowl Feeder Motor 01"
"EQP_BFM02","Motor","BFM02","FB_DOL02","Bowl Feeder Motor 02"
"EQP_VPM01","Motor","VPM01","FB_DOL03","Vacuum Pump"
"EQP_BSVPM01","Motor","BSVPM01","FB_DOL04","Bag Sealer Vacuum Pump"
"EQP_Robot_01","Motor","Robot 01","FB_ROB01","Plate Handling ROBOT-1"
"EQP_Robot_02","Motor","Robot 02","FB_ROB02","Plate Handling ROBOT-2"
"EQP_Robot_03","Motor","Robot 03","FB_ROB03","Tray Transfer ROBOT"
"EQP_Robot_04","Motor","Robot 04","FB_ROB04","Bag Transfer Robot"
"EQP_Cyl_Qty","Motor","Cyl Qty","PLC Tag /FB No","Description"
"EQP_1","Motor","1","FB_PV01","Plate Infeed Conveyor Diverter"
"EQP_1","Motor","1","FB_PV02","Linear Feeder 01 Exit Stopper"
"EQP_1","Motor","1","FB_PV03","Linear Feeder 02 Exit Stopper"
"EQP_1","Motor","1","FB_PV04","Plate Handling ROBOT 01 Gripper"
"EQP_1","Motor","1","FB_PV05","Tray 01 Side Guide"
"EQP_1","Motor","1","FB_PV06","Tray 01 Front Guide"
"EQP_2","Motor","2","FB_PV07","Tray 01 Stopper 01/02"
"EQP_1","Motor","1","FB_PV08","Tray 01 Pusher UP FB"
"EQP_1","Motor","1","FB_PV09","Plate Handling ROBOT 02 Gripper"
"EQP_1","Motor","1","FB_PV10","Tray 02 Side Guide"
"EQP_1","Motor","1","FB_PV11","Tray 02 Front Guide"
"EQP_2","Motor","2","FB_PV12","Tray 02 Stopper 01/02"
"EQP_1","Motor","1","FB_PV13","Tray 02 Pusher UP FB"
"EQP_1","Motor","1","FB_PV14","Tray Insertion Servo Slide Pusher"
"EQP_1","Motor","1","FB_PV15","Tray Insertion Servo Tray Stopper"
"EQP_2","Motor","2","FB_PV16","Bag Opening Swing Arm1/2"
"EQP_1","Motor","1","FB_PV17","Bag Opening Swing Arm Stretch"
"EQP_1","Motor","1","FB_PV18","Bag Opening Vacuum Cup Lifter"
"EQP_1","Motor","1","FB_PV19","Tray Stacker Safety Cover Slide"
"EQP_1","Motor","1","FB_PV20","Tray Stacker 01 Tray Centering"
"EQP_1","Motor","1","FB_PV21","Tray Stacker 01 Tray Referencing"
"EQP_1","Motor","1","FB_PV22","Tray Stacker 02 Tray Centering"
"EQP_1","Motor","1","FB_PV23","Tray Stacker 02 Tray Referencing"
"EQP_1","Motor","1","FB_PV24","Tray Transfer ROBOT Tray Lifter"
"EQP_1","Motor","1","FB_PV25","Tray Transfer ROBOT Tray Vacuum Cup"
"EQP_1","Motor","1","FB_PV26","Bag Transfer Robot Vacuum Cup"
"EQP_1","Motor","1","FB_PV27","Sealing Unit Heating Jaw"
"EQP_2","Motor","2","FB_PV28","Sealing Unit Vacuum Jaw"
"EQP_1","Motor","1","FB_PV29","Sealing Unit Bag Opening Cylinder"
"EQP_1","Motor","1","FB_PV30","Tray Feeding Conveyor Buffer Stopper"
"EQP_1","Motor","1","FB_PV31","Bag Opening Bottom Vacuum Cup"
"EQP_1","Motor","1","FB_PV32",""
"EQP_1","Motor","1","FB_PV33",""
"EQP_FB_PV34","Motor","FB_PV34","FB_PV34",""
