"HmiTagName","PlcReference","DataType","Access","Description"
"PD_101.StartCmd","[Offline]PD_101.StartCmd","BOOL","Read/Write","Start command"
"PD_101.StopCmd","[Offline]PD_101.StopCmd","BOOL","Read/Write","Stop command"
"PD_101.SetSpeed","[Offline]PD_101.SetSpeed","REAL","Read/Write","Speed setpoint"
"PD_101.RunningSpeed","[Offline]PD_101.RunningSpeed","REAL","Read","Actual running speed"
"PD_101.MotorCurrent","[Offline]PD_101.MotorCurrent","REAL","Read","Motor current"
"PD_101.MPCB_Healthy","[Offline]PD_101.MPCB_Healthy","BOOL","Read","MPCB healthy feedback"
"STP_PC01.UpCmd","[Offline]STP_PC01.UpCmd","BOOL","Read/Write","Move up command"
"STP_PC01.DownCmd","[Offline]STP_PC01.DownCmd","BOOL","Read/Write","Move down command"
"STP_PC01.UpFb","[Offline]STP_PC01.UpFb","BOOL","Read","Up position feedback"
"STP_PC01.DownFb","[Offline]STP_PC01.DownFb","BOOL","Read","Down position feedback"
