Tag Name,Type,Description
"RIO03_Z3:10:I.0","bool","DI57_Tilting Station Bag Entry Sensor"
"RIO03_Z3:10:I.1","bool","DI58_Stitching Station Bag Exit Sensor"
"RIO03_Z3:10:I.2","bool","DI59_Stitching Station Thread Cutter Cylinder Fwd FB"
"RIO03_Z3:10:I.3","bool","DI60_Stitching Station Thread Cutter Cylinder Rev FB"
"RIO03_Z3:10:I.4","bool","DI61_Stitching Station Thread breake Detection Sensor-1"
"RIO03_Z3:10:I.5","bool","DI62_Stitching Station Thread breake Detection Sensor-2"
"RIO03_Z3:10:I.6","bool","DI63_Stitching Station Stitching Start Sensor"
"RIO03_Z3:10:I.7","bool","DI64_Stitching Station Stitching StopSensor"
"RIO03_Z3:11:I.0","bool","DI65_Tilting Station Bag Exit Sensor"
"RIO03_Z3:11:I.1","bool","DI66_Bag Flattner Station Bag Entry Sensor"
"RIO03_Z3:11:I.2","bool","DI67_Bag Flattner Station Bag Exit Sensor"
"RIO03_Z3:11:I.3","bool","DI68_Spare DI"
"RIO03_Z3:11:I.4","bool","DI69_Spare DI"
"RIO03_Z3:11:I.5","bool","DI70_Metal Detector Station Bag Entry Sensor"
"RIO03_Z3:11:I.6","bool","DI71_Metal Detector Station Bag Exit Sensor"
"RIO03_Z3:11:I.7","bool","DI72_Metal Detector FB"
"RIO03_Z3:12:I.0","bool","DI73_Rejection Station Bag Present Sensor"
"RIO03_Z3:12:I.1","bool","DI74_Rejection Station Bag Entry Sensor"
"RIO03_Z3:12:I.2","bool","DI75_Rejection Station Bag Exit Sensor"
"RIO03_Z3:12:I.3","bool","DI76_Rejection Station Pusher Cyl Forward FB"
"RIO03_Z3:12:I.4","bool","DI77_Rejection Station Pusher Cyl Reverse FB"
"RIO03_Z3:12:I.5","bool","DI78_Spare DI"
"RIO03_Z3:12:I.6","bool","DI79_Packing Zone Dust Collector Level High"
"RIO03_Z3:12:I.7","bool","DI80_Dust Collector Discharge BFV Open FB"
"RIO03_Z3:13:I.0","bool","DI81_Dust Collector Discharge BFV Close FB"
"RIO03_Z3:13:I.1","bool","DI82_Spare DI"
"RIO03_Z3:13:I.2","bool","DI83_Spare DI"
"RIO03_Z3:13:I.3","bool","DI84_Incliend Belt conveyor Disconnector FB"
"RIO03_Z3:13:I.4","bool","DI85_Material Storage Vibro-1 Disconnector FB"
"RIO03_Z3:13:I.5","bool","DI86_Material Storage Vibro-2 Disconnector FB"
"RIO03_Z3:13:I.6","bool","DI87_Bag Filling Conveyor Disconnector FB"
"RIO03_Z3:13:I.7","bool","DI88_Bag Sealing & Stiching Conveyor Disconnector FB"
"RIO03_Z3:14:I.0","bool","DI89_Bag Tilting Conveyor Disconnector FB"
"RIO03_Z3:14:I.1","bool","DI90_Bag Flattening Bottom Conveyor Disconnector FB"
"RIO03_Z3:14:I.2","bool","DI91_Bag Flattening Top Conveyor Disconnector FB"
"RIO03_Z3:14:I.3","bool","DI92_Metal Detector Conveyor metal Detection FB"
"RIO03_Z3:14:I.4","bool","DI93_Bag Rejection Conveyor Disconnector FB"
"RIO03_Z3:14:I.5","bool","DI94_Spare"
"RIO03_Z3:14:I.6","bool","DI95_Inclined Conveyor Start PB"
"RIO03_Z3:14:I.7","bool","DI96_Inclined Conveyor Stop PB"
"RIO03_Z3:15:O.0","bool","DO01_Packing Tower Lamp Red"
"RIO03_Z3:15:O.1","bool","DO02_Packing Tower Lamp Ambe"
"RIO03_Z3:15:O.2","bool","DO03_Packing Tower Lamp Green"
"RIO03_Z3:15:O.3","bool","DO04_Packing Tower Lamp Buzzer"
"RIO03_Z3:15:O.4","bool","DO05_Packing System Start PB Green Lamp"
"RIO03_Z3:15:O.5","bool","DO06_Packing System Reset PB Blue Lamp"
"RIO03_Z3:15:O.6","bool","DO07_Packing System Safety Reset PB Yellow Lamp"
"RIO03_Z3:15:O.7","bool","DO08_Spare"
"RIO03_Z3:16:O.0","bool","DO09_Electro Magnetic Coarse Vibro Enable"
"RIO03_Z3:16:O.1","bool","DO10_Electro Magnetic Fine Vibro Enable"
"RIO03_Z3:16:O.2","bool","DO11_Bag Stitching Motor Enable"
"RIO03_Z3:16:O.3","bool","DO12_Bagging Zone Dust Collector Enable"
"RIO03_Z3:16:O.4","bool","DO13_Spare"
"RIO03_Z3:16:O.5","bool","DO14_Spare"
"RIO03_Z3:16:O.6","bool","DO15_Spare"
"RIO03_Z3:16:O.7","bool","DO16_Spare"
"RIO03_Z3:17:O.0","bool","DO17_Diverter Flap Cylinder FWD SOV"
"RIO03_Z3:17:O.1","bool","DO18_Diverter Flap Cylinder REV SOV"
"RIO03_Z3:17:O.2","bool","DO19_Filling Station Bag Clamp-1/2 Open SOV"
"RIO03_Z3:17:O.3","bool","DO20_Filling Station Bag Clamp-1/2 Close SOV"
"RIO03_Z3:17:O.4","bool","DO21_Filling Station Bag Side Flap-1/2 Open SOV"
"RIO03_Z3:17:O.5","bool","DO22_Filling Station Bag Side Flap-1/2 Close SOV"
"RIO03_Z3:17:O.6","bool","DO23_Filling Station Conveyor Up SOV"
"RIO03_Z3:17:O.7","bool","DO24_Filling Station Conveyor Dn SOV"
"RIO03_Z3:18:O.0","bool","DO25_Stitching Station Thread Cutter Cylinder Fwd SOV"
"RIO03_Z3:18:O.1","bool","DO26_Stitching Station Thread Cutter Cylinder Rev SOV"
"RIO03_Z3:18:O.2","bool","DO27_Rejection Station Pusher Cyl Forward SOV"
"RIO03_Z3:18:O.3","bool","DO28_Rejection Station Pusher Cyl Reverse SOV"
"RIO03_Z3:18:O.4","bool","DO29_Spare"
"RIO03_Z3:18:O.5","bool","DO30_Packing Zone Dust Collector PV01"
"RIO03_Z3:18:O.6","bool","DO31_Packing Zone Dust Collector PV02"
"RIO03_Z3:18:O.7","bool","DO32_Spare"
"RIO03_Z3:19:O.0","bool","DO33_Inclined Conveyor Start Lamp"
"RIO03_Z3:19:O.1","bool","DO34_Spare"
"RIO03_Z3:19:O.2","bool","DO35_Spare"
"RIO03_Z3:19:O.3","bool","DO36_Spare"
"RIO03_Z3:19:O.4","bool","DO37_Spare"
"RIO03_Z3:19:O.5","bool","DO38_Spare"
"RIO03_Z3:19:O.6","bool","DO39_Spare"
"RIO03_Z3:19:O.7","bool","DO40 _Spare"
"RIO03_Z3:3:I.0","bool","DI01_Packing Start PB"
"RIO03_Z3:3:I.1","bool","DI02_Packing Stop PB"
"RIO03_Z3:3:I.2","bool","DI03_Packing System Reset PB"
"RIO03_Z3:3:I.3","bool","DI04_Packing System Safety Reset PB"
"RIO03_Z3:3:I.4","bool","DI05_Spare DI"
"RIO03_Z3:3:I.5","bool","DI06_Spare"
"RIO03_Z3:3:I.6","bool","DI07_Packing Air Pressure Switch"
"RIO03_Z3:3:I.7","bool","DI08_Spare DI"
"RIO03_Z3:4:I.0","bool","DI09_Incliend Belt conveyor MPCB Healthy"
"RIO03_Z3:4:I.1","bool","DI10_Material Storage Vibro-1 MPCB Healthy"
"RIO03_Z3:4:I.2","bool","DI11_Material Storage Vibro-2 MPCB Healthy"
"RIO03_Z3:4:I.3","bool","DI12_Bag Filling Conveyor MPCB Healthy"
"RIO03_Z3:4:I.4","bool","DI13_Bag Sealing & Stiching Conveyor MPCB Healthy"
"RIO03_Z3:4:I.5","bool","DI14_Bag Stitching Motor MPCB Healthy"
"RIO03_Z3:4:I.6","bool","DI15_Bag Tilting Conveyor MPCB Healthy"
"RIO03_Z3:4:I.7","bool","DI16_Bag Flattening Bottom Conveyor MPCB Healthy"
"RIO03_Z3:5:I.0","bool","DI17_Bag Flattening Top Conveyor MPCB Healthy"
"RIO03_Z3:5:I.1","bool","DI18_Metal Detector Conveyor MPCB Healthy"
"RIO03_Z3:5:I.2","bool","DI19_Bag Rejection Conveyor MPCB Healthy"
"RIO03_Z3:5:I.3","bool","DI20_Bagging Zone Dust Collector MPCB Healthy"
"RIO03_Z3:5:I.4","bool","DI21_Spare DI"
"RIO03_Z3:5:I.5","bool","DI22_Spare DI"
"RIO03_Z3:5:I.6","bool","DI23_Spare DI"
"RIO03_Z3:5:I.7","bool","DI24_Spare DI"
"RIO03_Z3:6:I.0","bool","DI25_Spare DI"
"RIO03_Z3:6:I.1","bool","DI26_Bag Stitching Motor Disconnector FB"
"RIO03_Z3:6:I.2","bool","DI27_Bagging Zone Dust Collector Disconnector FB"
"RIO03_Z3:6:I.3","bool","DI28_Spare DI"
"RIO03_Z3:6:I.4","bool","DI29_Spare DI"
"RIO03_Z3:6:I.5","bool","DI30_Spare DI"
"RIO03_Z3:6:I.6","bool","DI31_Electro Magnetic Coarse Vibro Running F/B"
"RIO03_Z3:6:I.7","bool","DI32_Electro Magnetic Fine Vibro Running F/B"
"RIO03_Z3:7:I.0","bool","DI33_Diverter Flap Cylinder FWD FB"
"RIO03_Z3:7:I.1","bool","DI34_Diverter Flap Cylinder REV FB"
"RIO03_Z3:7:I.2","bool","DI35_Filling Station Bag Clamp-1 Open FB"
"RIO03_Z3:7:I.3","bool","DI36_Filling Station Bag Clamp-1 Close FB"
"RIO03_Z3:7:I.4","bool","DI37_Filling Station Bag Clamp-2 Open FB"
"RIO03_Z3:7:I.5","bool","DI38_Filling Station Bag Clamp-2 Close FB"
"RIO03_Z3:7:I.6","bool","DI39_Filling Station Bag Side Flap-1 Open FB"
"RIO03_Z3:7:I.7","bool","DI40_Filling Station Bag Side Flap-1 Close FB"
"RIO03_Z3:8:I.0","bool","DI41_Filling Station Bag Side Flap-2 Open FB"
"RIO03_Z3:8:I.1","bool","DI42_Filling Station Bag Side Flap-2 Close FB"
"RIO03_Z3:8:I.2","bool","DI43_Filling Station Bag Present Sensor"
"RIO03_Z3:8:I.3","bool","DI44_Filling Station Bag Clamp Foot Switch"
"RIO03_Z3:8:I.4","bool","DI45_Filling Station Filling Start/Stop PB"
"RIO03_Z3:8:I.5","bool","DI46_Filling Station Conveyor Up FB"
"RIO03_Z3:8:I.6","bool","DI47_Filling Station Conveyor Dn FB"
"RIO03_Z3:8:I.7","bool","DI48_Spare DI"
"RIO03_Z3:9:I.0","bool","DI49_Sealing Station Bag Entry Sensor"
"RIO03_Z3:9:I.1","bool","DI50_Sealing Station Bag Exit Sensor"
"RIO03_Z3:9:I.2","bool","DI51_Sealing Station Band Sealer Machine Ready"
"RIO03_Z3:9:I.3","bool","DI52_Sealing Station Band Sealer Machine Running"
"RIO03_Z3:9:I.4","bool","DI53_Sealing Station Band Sealer Machine Temperature OK"
"RIO03_Z3:9:I.5","bool","DI54_Sealing Conveyor Start Foot Switch"
"RIO03_Z3:9:I.6","bool","DI55_Spare DI"
"RIO03_Z3:9:I.7","bool","DI56_Stitching Station Cycle Start Foot Switch"
"AI01_Gas_Burner_Inlet_Temp_Scaled_Value","float","AI01_Gas_Burner_Inlet_Temp_Scaled_Value"
"AI01_MSV01_Level_Sensor_In_Range","bool","AI01_MSV01_Level_Sensor_In_Range"
"AI01_MSV01_Level_Sensor_Scaled_Value","float","AI01_MSV01_Level_Sensor_Scaled_Value"
"AI02_Fine_Level_With_In_Range","bool","AI02_Fine_Level_With_In_Range"
"AI02_Fine_Vibro_Sensor_Scaled_Value","float","AI02_Fine_Vibro_Sensor_Scaled_Value"
"AI02_Gas_Burner_Outlet_Temp_Scaled_Value","float","AI02_Gas_Burner_Outlet_Temp_Scaled_Value"
"AI03_Dryer_Heat_Zone1_Temp_High_Fault","bool","AI03_Dryer_Heat_Zone1_Temp_High_Fault"
"AI03_Dryer_Heat_Zone1_Temp_Low_Fault","bool","AI03_Dryer_Heat_Zone1_Temp_Low_Fault"
"AI03_Dryer_Heat_Zone1_Temp_Scaled_Value","float","AI03_Dryer_Heat_Zone1_Temp_Scaled_Value"
"AI03_Dryer_Heat_Zone1_Temp_With_In_Range","bool","AI03_Dryer_Heat_Zone1_Temp_With_In_Range"
"AI03_Dust_Collector_PT_High_SP","float","AI03_Dust_Collector_PT_High_SP"
"AI03_Dust_Collector_PT_Scaled_Value","float","AI03_Dust_Collector_PT_Scaled_Value"
"AI03_Dust_Collector_PT_WithIn_Range","bool","AI03_Dust_Collector_PT_WithIn_Range"
"AI04_Dryer_Heat_Zone2_Temp_High_Fault","bool","AI04_Dryer_Heat_Zone2_Temp_High_Fault"
"AI04_Dryer_Heat_Zone2_Temp_Low_Fault","bool","AI04_Dryer_Heat_Zone2_Temp_Low_Fault"
