Tag Name,Type,Description,PLC Address
"PLC uploded Tags.AI01_Gas_Burner_Inlet_Temp_Scaled_Value","float","AI01_Gas_Burner_Inlet_Temp_Scaled_Value","AI01_Gas_Burner_Inlet_Temp_Scaled_Value"
"PLC uploded Tags.AI01_MSV01_Level_Sensor_In_Range","bool","AI01_MSV01_Level_Sensor_In_Range","AI01_MSV01_Level_Sensor_In_Range"
"PLC uploded Tags.AI01_MSV01_Level_Sensor_Scaled_Value","float","AI01_MSV01_Level_Sensor_Scaled_Value","AI01_MSV01_Level_Sensor_Scaled_Value"
"PLC uploded Tags.AI02_Fine_Level_With_In_Range","bool","AI02_Fine_Level_With_In_Range","AI02_Fine_Level_With_In_Range"
"PLC uploded Tags.AI02_Fine_Vibro_Sensor_Scaled_Value","float","AI02_Fine_Vibro_Sensor_Scaled_Value","AI02_Fine_Vibro_Sensor_Scaled_Value"
"PLC uploded Tags.AI02_Gas_Burner_Outlet_Temp_Scaled_Value","float","AI02_Gas_Burner_Outlet_Temp_Scaled_Value","AI02_Gas_Burner_Outlet_Temp_Scaled_Value"
"PLC uploded Tags.AI03_Dryer_Heat_Zone1_Temp_High_Fault","bool","AI03_Dryer_Heat_Zone1_Temp_High_Fault","AI03_Dryer_Heat_Zone1_Temp_High_Fault"
"PLC uploded Tags.AI03_Dryer_Heat_Zone1_Temp_Low_Fault","bool","AI03_Dryer_Heat_Zone1_Temp_Low_Fault","AI03_Dryer_Heat_Zone1_Temp_Low_Fault"
"PLC uploded Tags.AI03_Dryer_Heat_Zone1_Temp_Scaled_Value","float","AI03_Dryer_Heat_Zone1_Temp_Scaled_Value","AI03_Dryer_Heat_Zone1_Temp_Scaled_Value"
"PLC uploded Tags.AI03_Dryer_Heat_Zone1_Temp_With_In_Range","bool","AI03_Dryer_Heat_Zone1_Temp_With_In_Range","AI03_Dryer_Heat_Zone1_Temp_With_In_Range"
"PLC uploded Tags.AI03_Dust_Collector_PT_High_SP","float","AI03_Dust_Collector_PT_High_SP","AI03_Dust_Collector_PT_High_SP"
"PLC uploded Tags.AI03_Dust_Collector_PT_Scaled_Value","float","AI03_Dust_Collector_PT_Scaled_Value","AI03_Dust_Collector_PT_Scaled_Value"
"PLC uploded Tags.AI03_Dust_Collector_PT_WithIn_Range","bool","AI03_Dust_Collector_PT_WithIn_Range","AI03_Dust_Collector_PT_WithIn_Range"
"PLC uploded Tags.AI04_Dryer_Heat_Zone2_Temp_High_Fault","bool","AI04_Dryer_Heat_Zone2_Temp_High_Fault","AI04_Dryer_Heat_Zone2_Temp_High_Fault"
"PLC uploded Tags.AI04_Dryer_Heat_Zone2_Temp_Low_Fault","bool","AI04_Dryer_Heat_Zone2_Temp_Low_Fault","AI04_Dryer_Heat_Zone2_Temp_Low_Fault"
"PLC uploded Tags.AI04_Dryer_Heat_Zone2_Temp_Scaled_Value","float","AI04_Dryer_Heat_Zone2_Temp_Scaled_Value","AI04_Dryer_Heat_Zone2_Temp_Scaled_Value"
"PLC uploded Tags.AI04_Dryer_Heat_Zone2_Temp_With_In_Range","bool","AI04_Dryer_Heat_Zone2_Temp_With_In_Range","AI04_Dryer_Heat_Zone2_Temp_With_In_Range"
"PLC uploded Tags.AI04_Dust_Collector_PT_Low_SP","float","AI04_Dust_Collector_PT_Low_SP","AI04_Dust_Collector_PT_Low_SP"
"PLC uploded Tags.AI04_Dust_Collector_PT_Scaled_Value","float","AI04_Dust_Collector_PT_Scaled_Value","AI04_Dust_Collector_PT_Scaled_Value"
