Tag Name,Type,Description,PLC Address
"Temp_Tags.IO_LIST","int","Active IO list tab (1=input, 2=output)",""
"PLC_DI_Discr.List_01","string","PLC DI list 01 title",""
"PLC_DI_Discr.List_02","string","PLC DI list 02 title",""
"PLC_DI_Discr.List_03","string","PLC DI list 03 title",""
"PLC_DI_Discr.List_04","string","PLC DI list 04 title",""
"PLC_DI_Discr.List_05","string","PLC DI list 05 title",""
"PLC_DI_Discr.List_06","string","PLC DI list 06 title",""
"PLC_DI_Discr.Data_00","string","DI01 System Start PB",""
"PLC_DI_Discr.Data_01","string","DI02 System Stop PB",""
"PLC_DI_Discr.Data_02","string","DI03 System Reset PB",""
"PLC_DI_Discr.Data_03","string","DI04 Safety Reset PB",""
"PLC_DI_Discr.Data_04","string","DI05 Spare DI",""
"PLC_DI_Discr.Data_05","string","DI06 Spare DI",""
"PLC_DI_Discr.Data_06","string","DI07 Spare DI",""
"PLC_DI_Discr.Data_07","string","DI08 Chopper Air Pressure Switch",""
"PLC_DI_Discr.Data_08","string","DI09 System Start PB",""
"PLC_DI_Discr.Data_09","string","DI10 System Stop PB",""
"PLC_DI_Discr.Data_10","string","DI11 System Reset PB",""
"PLC_DI_Discr.Data_11","string","DI12 Safety Reset PB",""
"PLC_DI_Discr.Data_12","string","DI13 Spare DI",""
"PLC_DI_Discr.Data_13","string","DI14 Spare DI",""
"PLC_DI_Discr.Data_14","string","DI15 Spare DI",""
"PLC_DI_Discr.Data_15","string","DI16 Chopper Air Pressure Switch",""
"PLC_DI_Discr.Data_16","string","DI17 System Start PB",""
"PLC_DI_Discr.Data_17","string","DI18 System Stop PB",""
"PLC_DI_Discr.Data_18","string","DI19 System Reset PB",""
"PLC_DI_Discr.Data_19","string","DI20 Safety Reset PB",""
"PLC_DI_Discr.Data_20","string","DI21 Spare DI",""
"PLC_DI_Discr.Data_21","string","DI22 Spare DI",""
"PLC_DI_Discr.Data_22","string","DI23 Spare DI",""
"PLC_DI_Discr.Data_23","string","DI24 Chopper Air Pressure Switch",""
"PLC_DI_Discr.Data_24","string","DI25 System Start PB",""
"PLC_DI_Discr.Data_25","string","DI26 System Stop PB",""
"PLC_DI_Discr.Data_26","string","DI27 System Reset PB",""
"PLC_DI_Discr.Data_27","string","DI28 Safety Reset PB",""
"PLC_DI_Discr.Data_28","string","DI29 Spare DI",""
"PLC_DI_Discr.Data_29","string","DI30 Spare DI",""
"PLC_DI_Discr.Data_30","string","DI31 Spare DI",""
"PLC_DI_Discr.Data_31","string","DI32 Chopper Air Pressure Switch",""
"PLC_DI_Discr.Data_32","string","DI33 System Start PB",""
