Tag Name,Type,Description
"System.AutoMode","bool","1=Auto, 0=Manual"
"System.Healthy","bool","1=Healthy, 0=Fault"
"System.Running","bool","Line running status"
"Production.Count","int","Total production count"
"Production.Rate","float","Units per hour"
"Production.Efficiency","float","OEE percentage"
"Production.Target","int","Shift production target"
"Production.Rejects","int","Reject count"
"Recipe.Active","string","Current recipe name"
"Recipe.Number","int","Active recipe number"
"Recipe.DownloadReady","bool","Recipe ready to download"
"Settings.SpeedSetpoint","float","Line speed setpoint"
"Settings.TempSetpoint","float","Temperature setpoint"
"Settings.AutoStart","bool","Auto start enabled"
"Manual.ConveyorRun","bool","Manual conveyor run"
"Manual.PumpRun","bool","Manual pump run"
"Manual.VFD_Speed","float","Manual VFD speed"
"Safety.EStopOK","bool","E-stop circuit OK"
"Safety.DoorClosed","bool","Safety doors closed"
"Safety.LightCurtainOK","bool","Light curtain clear"
"Prestart.PowerOK","bool","Power check"
"Prestart.AirOK","bool","Air pressure check"
"Prestart.SafetyOK","bool","Safety check"
"Prestart.Ready","bool","Prestart complete"
"Comm.PLCConnected","bool","PLC communication"
"Comm.ScanRate","float","PLC scan rate ms"
"CycleTime.Last","float","Last cycle time sec"
"CycleTime.Average","float","Average cycle time sec"
"CycleTime.Best","float","Best cycle time sec"
"IO.DI_001","bool","Start button"
"IO.DI_002","bool","Stop button"
"IO.DI_003","bool","Reset button"
"IO.DO_001","bool","Run lamp"
"IO.DO_002","bool","Fault lamp"
"IO.AI_001","float","Tank level %"
"Alarm.EStop","bool","E-stop alarm"
"Alarm.DoorOpen","bool","Door open alarm"
"Alarm.LowAir","bool","Low air alarm"
"Alarm.MotorFault","bool","Motor fault alarm"
"Alarm.HighTemp","bool","High temp alarm"
