"AlarmName","ErrorCode","Message","Severity","AckRequired","Trigger","Device"
"ALM_E001","E001","E001 AENTR IO 01 Communication  Faulted","500","true","","AENTR IO 01"
"ALM_E002","E002","E002 AENTR IO 02 Communication  Faulted","500","true","","AENTR IO 02"
"ALM_E003","E003","E003 Remote IO 01 Communication  Faulted","500","true","","Remote IO 01"
"ALM_E004","E004","E004 Remote IO 02 Communication  Faulted","500","true","","Remote IO 02"
"ALM_E005","E005","E005 Tray Pusher Servo 01 Drive Communication  Faulted","500","true","FB_Servo01.Alarm.E005","Tray Pusher Servo 01"
"ALM_E006","E006","E006 Plate Pusher Servo 01 Drive Communication  Faulted","500","true","FB_Servo02.Alarm.E006","Plate Pusher Servo 01"
"ALM_E007","E007","E007 Plate Guide Servo 01 Drive Communication  Faulted","500","true","FB_Servo03.Alarm.E007","Plate Guide Servo 01"
"ALM_E008","E008","E008 Tray Pusher Servo 02 Drive Communication  Faulted","500","true","FB_Servo04.Alarm.E008","Tray Pusher Servo 02"
"ALM_E009","E009","E009 Plate Pusher Servo 02 Drive Communication  Faulted","500","true","FB_Servo05.Alarm.E009","Plate Pusher Servo 02"
"ALM_E010","E010","E010 Plate Guide Servo 02 Drive Communication  Faulted","500","true","FB_Servo06.Alarm.E010","Plate Guide Servo 02"
"ALM_E011","E011","E011 Printer Assembly Servo Slide Drive Communication  Faulted","500","true","FB_Servo07.Alarm.E011","Printer Assembly Servo Slide"
"ALM_E012","E012","E012 Tray Insertion Servo Slide Drive Communication  Faulted","500","true","FB_Servo08.Alarm.E012","Tray Insertion Servo Slide"
"ALM_E013","E013","E013 Tray Stacker Servo 01 Drive Communication  Faulted","500","true","FB_Servo09.Alarm.E013","Tray Stacker Servo 01"
"ALM_E014","E014","E014 Tray Stacker Servo 02 Drive Communication  Faulted","500","true","FB_Servo10.Alarm.E014","Tray Stacker Servo 02"
"ALM_E015","E015","E015 Plate Feeding Conveyor Drive Communication  Faulted","500","true","FB_Drive01.Alarm.E015","Plate Feeding Conveyor"
"ALM_E016","E016","E016 Tray Feeding Conveyor Drive Communication  Faulted","500","true","FB_Drive02.Alarm.E016","Tray Feeding Conveyor"
"ALM_E017","E017","E017 Sealing Conveyor Drive Communication  Faulted","500","true","FB_Drive03.Alarm.E017","Sealing Conveyor"
"ALM_E018","E018","E018 Plate Handling ROBOT-01 Communication  Faulted","500","true","FB_RBT01.Alarm.E018","Plate Handling ROBOT-01"
"ALM_E019","E019","E019 Plate Handling ROBOT-02 Communication  Faulted","500","true","FB_RBT02.Alarm.E019","Plate Handling ROBOT-02"
"ALM_E020","E020","E020 Tray Transfer Robot 01 Communication  Faulted","500","true","","Tray Transfer Robot 01"
"ALM_E021","E021","E021 Bag Transfer Robot 01 Communication  Faulted","500","true","","Bag Transfer Robot 01"
"ALM_E022","E022","E022 Valve Bank Communication  Faulted","500","true","","Valve Bank"
"ALM_E023","E023","E023 Spare","500","true","","Spare"
"ALM_E024","E024","E024 Spare","500","true","","Spare"
