"TagName","PLCReference","DataType","Access","Description"
"PLC01","","DINT","Read/Write","PLC"
"RIO01","","DINT","Read/Write","AENTR IO 01"
"RIO02","","DINT","Read/Write","AENTR IO 02"
"RM01","","DINT","Read/Write","Remote Module 01"
"RM02","","DINT","Read/Write","Remote Module 02"
"SCADA01","","DINT","Read/Write","Scada"
"TPS01","[PLC01]FB_Servo01","DINT","Read/Write","Tray Pusher Servo 01"
"PPS01","[PLC01]FB_Servo02","DINT","Read/Write","Plate Pusher Servo 01"
"PGS01","[PLC01]FB_Servo03","DINT","Read/Write","Plate Guide Servo 01"
"TPS02","[PLC01]FB_Servo04","DINT","Read/Write","Tray Pusher Servo 02"
"PPS02","[PLC01]FB_Servo05","DINT","Read/Write","Plate Pusher Servo 02"
"PGS02","[PLC01]FB_Servo06","DINT","Read/Write","Plate Guide Servo 02"
"PASS01","[PLC01]FB_Servo07","DINT","Read/Write","Printer Assembly Servo Slide"
"TIS01","[PLC01]FB_Servo08","DINT","Read/Write","Tray Insertion Servo Slide"
"TST01","[PLC01]FB_Servo09","DINT","Read/Write","Tray Stacker Servo 01"
"TST02","[PLC01]FB_Servo10","DINT","Read/Write","Tray Stacker Servo 02"
"PFC01","[PLC01]FB_Drive01","DINT","Read/Write","Plate Feeding Conveyor"
"TFC01","[PLC01]FB_Drive02","DINT","Read/Write","Tray Feeding Conveyor"
"SLC01","[PLC01]FB_Drive03","DINT","Read/Write","Sealing Conveyor"
"BFM01","[PLC01]FB_DOL01","DINT","Read/Write","Bowl Feeder Motor 01"
"BFM02","[PLC01]FB_DOL02","DINT","Read/Write","Bowl Feeder Motor 02"
"VPM01","[PLC01]FB_DOL03","DINT","Read/Write","Vacuum Pump"
"BSVPM01","[PLC01]FB_DOL04","DINT","Read/Write","Bag Sealer Vacuum Pump"
"Robot 01","[PLC01]FB_RBT01","DINT","Read/Write","Plate Handling ROBOT-1"
"Robot 02","[PLC01]FB_RBT02","DINT","Read/Write","Plate Handling ROBOT-2"
"Robot 03","[PLC01]FB_RBT03","DINT","Read/Write","Tray Transfer ROBOT"
"Robot 04","[PLC01]FB_RBT04","DINT","Read/Write","Bag Transfer Robot"
"Cyl Qty","[PLC01]PLC Tag /FB No","DINT","Read/Write","Description"
"1","[PLC01]FB_PV01","DINT","Read/Write","Plate Infeed Conveyor Diverter"
"1","[PLC01]FB_PV02","DINT","Read/Write","Linear Feeder 01 Exit Stopper"
"1","[PLC01]FB_PV03","DINT","Read/Write","Linear Feeder 02 Exit Stopper"
"1","[PLC01]FB_PV04","DINT","Read/Write","Plate Handling ROBOT 01 Gripper"
"1","[PLC01]FB_PV05","DINT","Read/Write","Tray 01 Side Guide"
"1","[PLC01]FB_PV06","DINT","Read/Write","Tray 01 Front Guide"
"2","[PLC01]FB_PV07","DINT","Read/Write","Tray 01 Stopper 01/02"
"1","[PLC01]FB_PV08","DINT","Read/Write","Tray 01 Pusher UP FB"
"1","[PLC01]FB_PV09","DINT","Read/Write","Plate Handling ROBOT 02 Gripper"
"1","[PLC01]FB_PV10","DINT","Read/Write","Tray 02 Side Guide"
"1","[PLC01]FB_PV11","DINT","Read/Write","Tray 02 Front Guide"
"2","[PLC01]FB_PV12","DINT","Read/Write","Tray 02 Stopper 01/02"
"1","[PLC01]FB_PV13","DINT","Read/Write","Tray 02 Pusher UP FB"
"1","[PLC01]FB_PV14","DINT","Read/Write","Tray Insertion Servo Slide Pusher"
"1","[PLC01]FB_PV15","DINT","Read/Write","Tray Insertion Servo Tray Stopper"
"2","[PLC01]FB_PV16","DINT","Read/Write","Bag Opening Swing Arm1/2"
"1","[PLC01]FB_PV17","DINT","Read/Write","Bag Opening Swing Arm Stretch"
"1","[PLC01]FB_PV18","DINT","Read/Write","Bag Opening Vacuum Cup Lifter"
"1","[PLC01]FB_PV19","DINT","Read/Write","Tray Stacker Safety Cover Slide"
"1","[PLC01]FB_PV20","DINT","Read/Write","Tray Stacker 01 Tray Centering"
"1","[PLC01]FB_PV21","DINT","Read/Write","Tray Stacker 01 Tray Referencing"
"1","[PLC01]FB_PV22","DINT","Read/Write","Tray Stacker 02 Tray Centering"
"1","[PLC01]FB_PV23","DINT","Read/Write","Tray Stacker 02 Tray Referencing"
"1","[PLC01]FB_PV24","DINT","Read/Write","Tray Transfer ROBOT Tray Lifter"
"1","[PLC01]FB_PV25","DINT","Read/Write","Tray Transfer ROBOT Tray Vacuum Cup"
"1","[PLC01]FB_PV26","DINT","Read/Write","Bag Transfer Robot Vacuum Cup"
"1","[PLC01]FB_PV27","DINT","Read/Write","Sealing Unit Heating Jaw"
"2","[PLC01]FB_PV28","DINT","Read/Write","Sealing Unit Vacuum Jaw"
"1","[PLC01]FB_PV29","DINT","Read/Write","Sealing Unit Bag Opening Cylinder"
"1","[PLC01]FB_PV30","DINT","Read/Write","Tray Feeding Conveyor Buffer Stopper"
"1","[PLC01]FB_PV31","DINT","Read/Write","Bag Opening Bottom Vacuum Cup"
"1","[PLC01]FB_PV32","DINT","Read/Write",""
"1","[PLC01]FB_PV33","DINT","Read/Write",""
"FB_PV34","[PLC01]FB_PV34","DINT","Read/Write",""
